"","CASE_STATUS","EMPLOYER_STATE","SOC_NAME","FULL_TIME_POSITION","PREVAILING_WAGE","PW_SOURCE","WAGE_RATE_OF_PAY_FROM","WORKSITE_STATE","DECISION_DURATION","EMPLOYMENT_DURATION"
"2878","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",131997,"OES",140000,"Mid-Atlantic",6,1096
"2879","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",96325,"OES",96325,"West",6,1095
"2880","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",73320,"OES",73320,"Midwest",4,1095
"2881","CERTIFIED","Southwest","COMPUTER PROGRAMMERS","Y",71906,"OES",71906,"Midwest",6,1095
"2882","CERTIFIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",51189,"Other",62000,"South",4,760
"2884","CERTIFIED","West","MECHANICAL ENGINEERS","Y",127442,"OES",150000,"West",6,1095
"2885","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",87693,"Other",95000,"Mid-Atlantic",6,1095
"2887","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",79331,"OES",90000,"South",48,1094
"2888","CERTIFIED","Southwest","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",80995,"OES",80995,"Southwest",6,1096
"2890","CERTIFIED","South","COMPUTER PROGRAMMERS","Y",74547,"OES",75000,"West",6,1096
"2891","CERTIFIED","Mid-Atlantic","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Y",22.44,"OES",23,"Mid-Atlantic",6,1095
"2892","CERTIFIED","New England","SOFTWARE DEVELOPERS, APPLICATIONS","Y",92331,"OES",92331,"South",6,1095
"2893","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",115773,"OES",120000,"West",4,1095
"2895","CERTIFIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",96325,"OES",96325,"West",6,1095
"2896","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",63794,"OES",78052,"South",6,1095
"2897","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",76877,"OES",87400,"Mid-Atlantic",6,1095
"2898","CERTIFIED","Mid-Atlantic","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",73424,"OES",85000,"Midwest",5,1095
"2903","CERTIFIED","Southwest","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",71885,"OES",75941,"Mid-Atlantic",4,729
"2904","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",67434,"OES",74500,"South",4,1093
"2905","CERTIFIED","New England","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68557,"OES",80000,"New England",7,1094
"2908","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",62754,"OES",63000,"Southwest",6,1095
"2909","CERTIFIED","South","MANAGEMENT ANALYSTS","Y",119038,"OES",120000,"West",6,1094
"2910","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",83678,"OES",83678,"West",6,1093
"2911","CERTIFIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",85654,"OES",85654,"West",4,1095
"2912","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",106101,"OES",120000,"West",6,1095
"2914","CERTIFIED","West","COMPUTER PROGRAMMERS","Y",70616,"OES",70616,"Southwest",6,1095
"2915","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",66373,"OES",75000,"Midwest",7,1096
"2917","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",76274,"Other",76500,"Southwest",7,1094
"2918","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",64230,"OES",72928,"New England",6,1093
"2920","CERTIFIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",56618,"OES",72800,"South",4,1096
"2921","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",52.66,"OES",65,"West",4,1095
"2922","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",70678,"OES",71000,"New England",6,1095
"2923","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",65042,"OES",66000,"West",6,1084
"2924","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",26.79,"OES",27,"South",6,1084
"2925","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",85134,"OES",85200,"West",6,1095
"2926","CERTIFIED","New England","COMPUTER OCCUPATIONS, ALL OTHER","Y",74173,"Other",80000,"Midwest",6,1096
"2927","CERTIFIED","West","PHYSICIANS AND SURGEONS, ALL OTHER","Y",77958,"OES",259920,"West",6,1095
"2929","CERTIFIED","Southwest","MANAGEMENT ANALYSTS","Y",57283,"OES",68000,"West",6,1096
"2930","CERTIFIED","South","ELECTRICAL ENGINEERS","Y",89586,"OES",97204.9,"South",4,1096
"2931","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",50440,"OES",62000,"South",4,1094
"2932","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",63794,"OES",76776,"South",6,1093
"2933","CERTIFIED","Southwest","MANAGEMENT ANALYSTS","Y",73674,"OES",96325,"Southwest",108,1095
"2934","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",48714,"OES",72600,"Midwest",4,1095
"2935","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",64917,"OES",65000,"South",6,1095
"2936","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",73070,"OES",73070,"Mid-Atlantic",4,884
"2937","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",98821,"OES",98821,"Southwest",6,1095
"2941","CERTIFIED","Southwest","COMPUTER PROGRAMMERS","Y",70554,"OES",71000,"Southwest",6,1095
"2942","CERTIFIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",60653,"Other",60700,"South",6,1096
"2943","CERTIFIED","Mid-Atlantic","ACCOUNTANTS AND AUDITORS","Y",59363,"OES",59363,"West",6,1095
