"","CASE_STATUS","EMPLOYER_STATE","SOC_NAME","FULL_TIME_POSITION","PREVAILING_WAGE","PW_SOURCE","WAGE_RATE_OF_PAY_FROM","WORKSITE_STATE","DECISION_DURATION","EMPLOYMENT_DURATION"
"1480","DENIED","West","FINANCIAL ANALYSTS","Y",60050,"OES",61000,"West",5,1096
"1483","DENIED","Southwest","COMPUTER PROGRAMMERS","Y",67891,"Other",68000,"Southwest",0,1095
"1484","DENIED","West","OPERATIONS RESEARCH ANALYSTS","Y",97219,"OES",132600,"West",995,1095
"1485","DENIED","West","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","N",18.33,"OES",20,"West",0,1095
"1486","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",36.44,"Other",37,"Mid-Atlantic",2,485
"1487","DENIED","Southwest","COMPUTER PROGRAMMERS","Y",61693,"Other",62000,"New England",0,1095
"1488","DENIED","New England","SOFTWARE DEVELOPERS, APPLICATIONS","Y",100402,"OES",101000,"South",0,1095
"1489","DENIED","South","PHYSICIANS AND SURGEONS, ALL OTHER","Y",58104,"Other",58104,"South",5,1079
"1490","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",104270,"OES",124128,"Mid-Atlantic",0,1095
"1492","DENIED","Mid-Atlantic","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Y",46342,"OES",46500,"Mid-Atlantic",0,1095
"1495","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",124675,"OES",190000,"West",0,1095
"1497","DENIED","West","COMPUTER PROGRAMMERS","Y",117416,"Other",140000,"West",1,1095
"1500","DENIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",97365,"OES",115000,"West",7,1094
"1503","DENIED","West","ELECTRICAL ENGINEERS","Y",92976,"OES",92456,"West",1,1095
"1504","DENIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",58282,"OES",69348,"Midwest",2,1095
"1506","DENIED","Mid-Atlantic","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Y",44637,"OES",85000,"Mid-Atlantic",783,1095
"1507","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",64834,"Other",81208.08,"Midwest",4,1096
"1509","DENIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",60050,"OES",73000,"West",1,1095
"1510","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90750,"OES",90750,"West",1,1095
"1512","DENIED","Southwest","COMPUTER PROGRAMMERS","Y",63294,"OES",63294,"Midwest",2,1094
"1514","DENIED","South","ACCOUNTANTS AND AUDITORS","Y",57512,"OES",58000,"South",4,1095
"1517","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",62234,"OES",64000,"Mid-Atlantic",3,1095
"1518","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",124675,"OES",131580,"West",1,1095
"1521","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",98987,"OES",98987,"West",1,1095
"1527","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",66997,"OES",71100,"Midwest",2,1095
"1529","DENIED","Mid-Atlantic","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",61734,"OES",65000,"Mid-Atlantic",2,1096
"1530","DENIED","New England","SOFTWARE DEVELOPERS, APPLICATIONS","Y",66331,"OES",90000,"New England",5,1095
"1532","DENIED","West","COMPUTER PROGRAMMERS","Y",29.31,"OES",68000,"Mid-Atlantic",0,1095
"1533","DENIED","New England","ACCOUNTANTS AND AUDITORS","Y",48000,"OES",43035,"South",7,1095
"1534","DENIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",86902,"OES",145000,"South",6,1095
"1535","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",72000,"OES",72000,"Mid-Atlantic",6,1094
"1536","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",81682,"OES",81682,"Midwest",367,1095
"1537","DENIED","West","OPERATIONS RESEARCH ANALYSTS","Y",119642,"OES",119642,"West",0,1094
"1538","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",61610,"Other",90000,"West",0,1094
"1539","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",106101,"OES",107000,"West",0,1096
"1540","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",109762,"OES",125000,"West",904,1095
"1541","DENIED","Southwest","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",58594,"OES",60000,"West",0,1096
"1542","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",72946,"OES",76800,"Mid-Atlantic",0,1095
"1543","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",89669,"OES",90000,"West",0,1096
"1544","DENIED","West","ELECTRICAL ENGINEERS","Y",130333,"OES",130333,"West",682,1096
"1546","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",26.88,"Other",26.88,"Mid-Atlantic",5,1094
"1547","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",67371,"OES",82000,"Midwest",829,1095
"1549","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",63315,"Other",64000,"South",5,1077
"1550","DENIED","New England","COMPUTER PROGRAMMERS","Y",60861,"Other",68000,"Mid-Atlantic",376,1094
"1552","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",72000,"Southwest",0,748
"1553","DENIED","West","COMPUTER PROGRAMMERS","Y",75941,"Other",76000,"West",0,1095
"1555","DENIED","South","MANAGEMENT ANALYSTS","Y",55952,"OES",55952,"South",1086,1095
"1556","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",68827,"Southwest",3,1096
"1557","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",65000,"OES",65000,"Mid-Atlantic",2,1095
"1558","DENIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",69389,"OES",69389,"Southwest",2,1095
"1561","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",66158,"Other",70000,"South",2,1094
"1567","DENIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",51189,"OES",63000,"South",1,1096
"1568","DENIED","South","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",54704,"OES",70000,"South",3,1096
"1570","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",36650,"OES",60000,"South",5,1095
"1572","DENIED","South","OPERATIONS RESEARCH ANALYSTS","Y",66997,"OES",90300,"South",2,1095
"1573","DENIED","West","MECHANICAL ENGINEERS","Y",116605,"OES",116310,"West",4,1095
"1575","DENIED","South","COMPUTER PROGRAMMERS","Y",55869,"OES",65936,"West",1,556
"1576","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",100755,"OES",100755,"Mid-Atlantic",617,1094
"1580","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",80870,"Other",81000,"West",4,1095
"1582","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",46301,"Other",75795,"Southwest",2,1095
"1583","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",62000,"OES",60000,"South",5,706
"1586","DENIED","West","COMPUTER PROGRAMMERS","Y",74547,"OES",80000,"West",3,1096
"1587","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",60362,"OES",90000,"Mid-Atlantic",995,1096
"1589","DENIED","South","PHYSICIANS AND SURGEONS, ALL OTHER","Y",53140,"Other",53914,"South",7,1096
"1591","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",44.73,"OES",45,"Midwest",6,1095
"1594","DENIED","South","COMPUTER PROGRAMMERS","Y",63981,"OES",68370,"Southwest",994,971
"1596","DENIED","South","COMPUTER PROGRAMMERS","Y",55390,"OES",55390,"South",0,1096
"1597","DENIED","South","COMPUTER PROGRAMMERS","Y",74277,"OES",74277,"Mid-Atlantic",1,456
"1598","DENIED","New England","COMPUTER PROGRAMMERS","Y",55390,"Other",60000,"South",2,1095
"1599","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",70762,"OES",80000,"Mid-Atlantic",2,1094
"1602","DENIED","Mid-Atlantic","MANAGEMENT ANALYSTS","Y",58198,"Other",58999.98,"Mid-Atlantic",0,730
"1607","DENIED","Mid-Atlantic","ACCOUNTANTS AND AUDITORS","Y",55765,"OES",70000,"Mid-Atlantic",3,1095
"1608","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",78083,"OES",78083,"Mid-Atlantic",0,1095
"1609","DENIED","South","COMPUTER PROGRAMMERS","Y",60944,"OES",71319,"Midwest",3,1095
"1611","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",89710,"OES",89710,"New England",251,1095
"1612","DENIED","South","COMPUTER PROGRAMMERS","Y",70034,"OES",81837,"South",7,374
"1616","DENIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",86902,"OES",87000,"South",0,729
"1618","DENIED","South","COMPUTER PROGRAMMERS","Y",72342,"OES",72342,"West",678,996
"1619","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",62754,"OES",68827,"Southwest",4,738
"1620","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",27.45,"Other",80000,"Southwest",0,1084
"1621","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",79019,"Other",1e+05,"West",2,1
"1629","DENIED","Midwest","COMPUTER PROGRAMMERS","Y",61500,"OES",61500,"Midwest",3,770
"1631","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",62733,"OES",60000,"Midwest",1,1095
"1632","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",56638,"OES",60000,"Midwest",1,1095
"1635","DENIED","Mid-Atlantic","PHYSICIANS AND SURGEONS, ALL OTHER","Y",57674,"Other",58900,"Mid-Atlantic",2,1095
"1637","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",51189,"OES",65000,"South",0,1096
"1638","DENIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",46488,"OES",55000,"Southwest",6,1095
"1641","DENIED","West","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",87651,"OES",87651,"West",0,1095
"1642","DENIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",88962,"OES",88962,"Mid-Atlantic",6,1095
"1647","DENIED","South","OPERATIONS RESEARCH ANALYSTS","Y",2000,"OES",2000,"South",3,730
"1648","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",71822,"OES",80000,"Midwest",5,1096
"1649","DENIED","South","COMPUTER PROGRAMMERS","Y",60320,"OES",78506,"Mid-Atlantic",1,397
"1653","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",83678,"OES",90000,"West",2,1095
"1656","DENIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",70824,"OES",71000,"West",5,1095
"1659","DENIED","Mid-Atlantic","MANAGEMENT ANALYSTS","Y",72010,"OES",72010,"Mid-Atlantic",5,1096
"1660","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",66706,"Other",67000,"West",0,1096
"1661","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",69555,"OES",70000,"Midwest",0,1095
"1663","DENIED","Midwest","FINANCIAL ANALYSTS","Y",76336,"OES",91998.4,"Midwest",1,1096
"1664","DENIED","West","COMPUTER PROGRAMMERS","Y",55390,"Other",55000,"South",7,1095
"1667","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",73902,"Other",75000,"Mid-Atlantic",7,1095
"1669","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",45760,"OES",60000,"South",2,1095
"1671","DENIED","Mid-Atlantic","ACCOUNTANTS AND AUDITORS","Y",26.81,"OES",27,"Mid-Atlantic",6,1096
"1674","DENIED","Mid-Atlantic","MECHANICAL ENGINEERS","Y",79144,"OES",45136,"New England",6,1095
"1679","DENIED","New England","COMPUTER OCCUPATIONS, ALL OTHER","Y",90376,"Other",143000,"Mid-Atlantic",1,1096
"1680","DENIED","Mid-Atlantic","PHYSICIANS AND SURGEONS, ALL OTHER","Y",254758,"OES",3e+05,"Mid-Atlantic",4,1096
"1683","DENIED","South","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Y",36338,"Other",50000,"South",2,1095
"1685","DENIED","South","COMPUTER PROGRAMMERS","Y",75795,"OES",78506,"Mid-Atlantic",2,544
"1686","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",44824,"OES",60000,"Mid-Atlantic",3,1095
"1688","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",52478,"OES",60000,"Southwest",4,136
"1689","DENIED","Mid-Atlantic","ELECTRICAL ENGINEERS","Y",70491,"OES",70491,"Mid-Atlantic",0,921
"1691","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",108763,"OES",130000,"Mid-Atlantic",819,1095
"1692","DENIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",57533,"Other",65000,"West",0,1009
"1694","DENIED","Midwest","PHYSICIANS AND SURGEONS, ALL OTHER","Y",121805,"Other",147045,"Midwest",4,1095
"1696","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",66997,"OES",67700,"Midwest",0,1095
"1700","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",54662,"Other",55000,"Mid-Atlantic",8,1077
"1702","DENIED","South","ELECTRICAL ENGINEERS","Y",53726,"OES",68000,"South",2,1095
"1703","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",88067,"OES",80891,"New England",1,1096
"1705","DENIED","New England","COMPUTER OCCUPATIONS, ALL OTHER","Y",93101,"Other",93500,"New England",305,1094
"1706","DENIED","South","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",74422,"OES",75000,"West",1,1095
"1708","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",63357,"Other",70000,"Mid-Atlantic",5,1095
"1709","DENIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",67205,"OES",75000,"Mid-Atlantic",927,1095
"1711","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",56618,"OES",66830,"South",0,1095
"1713","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",82098,"OES",82104,"South",5,1095
"1715","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",93517,"OES",93517,"New England",594,1094
"1717","DENIED","South","ELECTRICAL ENGINEERS","Y",62379,"OES",84150,"Midwest",0,1096
"1718","DENIED","West","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",97926,"OES",103126,"West",0,1095
"1720","DENIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",69701,"OES",67200,"Mid-Atlantic",1,1095
"1721","DENIED","Midwest","COMPUTER PROGRAMMERS","Y",88733,"OES",71800,"Southwest",4,1094
"1722","DENIED","South","PHYSICIANS AND SURGEONS, ALL OTHER","Y",57197,"Other",57197,"South",1,729
"1725","DENIED","Southwest","FINANCIAL ANALYSTS","Y",56243,"OES",70000,"West",236,1094
"1729","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",58282,"OES",70000,"Mid-Atlantic",3,1095
"1730","DENIED","West","ELECTRICAL ENGINEERS","Y",63066,"OES",71791,"West",4,1095
"1731","DENIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",122470,"OES",140595,"Southwest",299,1094
"1733","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",74818,"OES",74818,"New England",0,1095
"1734","DENIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",66269,"Other",68000,"Southwest",3,1095
"1735","DENIED","Mid-Atlantic","MANAGEMENT ANALYSTS","Y",86798,"OES",111375,"South",2,1096
"1736","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",70221,"OES",71000,"Mid-Atlantic",1,1095
"1738","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",80870,"Other",80870,"West",0,1095
"1739","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",81952,"OES",90000,"Southwest",672,1096
"1740","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",53019,"OES",65000,"South",5,730
"1741","DENIED","Midwest","MANAGEMENT ANALYSTS","Y",36041,"Other",36041,"Midwest",5,1095
"1742","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",78603,"Other",78700,"New England",215,1095
"1744","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",74443,"CBA",74443,"West",7,1095
"1750","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",90000,"OES",90000,"South",0,1095
"1751","DENIED","Mid-Atlantic","MANAGEMENT ANALYSTS","Y",58198,"OES",60000,"Mid-Atlantic",0,1095
"1752","DENIED","Southwest","COMPUTER PROGRAMMERS","Y",46301,"OES",65000,"Southwest",0,1096
"1754","DENIED","Mid-Atlantic","MANAGEMENT ANALYSTS","Y",45926,"OES",60000,"Southwest",1,1095
"1756","DENIED","Midwest","MECHANICAL ENGINEERS","Y",63752,"OES",64875,"Southwest",0,1096
"1760","DENIED","West","ELECTRICAL ENGINEERS","Y",63482,"OES",63482,"West",3,1095
"1763","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",64813,"OES",66000,"Mid-Atlantic",6,730
"1764","DENIED","Midwest","PHYSICIANS AND SURGEONS, ALL OTHER","Y",166606,"Other",240000,"Midwest",672,1095
"1766","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",85134,"OES",85134,"West",0,1095
"1769","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",69826,"OES",70000,"Midwest",4,1084
"1770","DENIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",70782,"OES",70800,"Midwest",283,1095
"1771","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",75795,"OES",90000,"Mid-Atlantic",1,1096
"1772","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",89669,"OES",90000,"South",2,445
"1773","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",68827,"Southwest",1,1096
"1774","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",47154,"Other",48000,"South",7,1096
"1775","DENIED","West","PHYSICIANS AND SURGEONS, ALL OTHER","Y",70750,"Other",70750,"West",0,364
"1776","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",64813,"Other",70000,"Mid-Atlantic",3,1095
"1777","DENIED","South","COMPUTER PROGRAMMERS","Y",75795,"OES",78506,"Mid-Atlantic",6,822
"1778","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",84739,"OES",114996,"South",1,1095
"1780","DENIED","South","COMPUTER PROGRAMMERS","Y",68245,"OES",68245,"West",1155,1095
"1783","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",79165,"OES",78506,"Mid-Atlantic",1,1093
"1784","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",62733,"OES",63000,"Midwest",3,1096
"1787","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",68869,"Other",69000,"Mid-Atlantic",368,1094
"1788","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",83491,"OES",93000,"New England",0,1095
"1789","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",70886,"Other",65374,"South",4,1095
"1790","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",106623,"Other",120000,"West",1,1095
"1792","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",68827,"Southwest",5,1095
"1793","DENIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",60798,"OES",75000,"Southwest",3,1095
"1796","DENIED","West","FINANCIAL ANALYSTS","Y",29.68,"OES",29.68,"West",6,729
"1798","DENIED","Mid-Atlantic","PHYSICIANS AND SURGEONS, ALL OTHER","Y",54107,"Other",55002,"Mid-Atlantic",6,1095
"1799","DENIED","New England","SOFTWARE DEVELOPERS, APPLICATIONS","Y",65686,"OES",66000,"South",0,1095
"1801","DENIED","Southwest","MECHANICAL ENGINEERS","Y",87381,"OES",104853.92,"Southwest",258,1094
"1802","DENIED","New England","COMPUTER SYSTEMS ANALYSTS","Y",63710,"Other",70000,"New England",0,1095
"1803","DENIED","South","COMPUTER PROGRAMMERS","Y",77522,"OES",85000,"Midwest",1,1094
"1805","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",110386,"Other",112000,"West",0,1095
"1809","DENIED","West","MANAGEMENT ANALYSTS","Y",88604,"Other",90400,"West",7,1094
"1811","DENIED","South","COMPUTER PROGRAMMERS","Y",23.14,"OES",1000,"South",6,1096
"1812","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",86882,"OES",86882,"South",909,1095
"1813","DENIED","Mid-Atlantic","MANAGEMENT ANALYSTS","N",29.01,"OES",27.89,"Mid-Atlantic",1,1095
"1814","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",62234,"OES",68000,"West",4,1095
"1817","DENIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",87339,"OES",85000,"West",1,1095
"1820","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",98904,"OES",105000,"Mid-Atlantic",728,1095
"1821","DENIED","West","ACCOUNTANTS AND AUDITORS","Y",62109,"OES",70000,"West",3,1094
"1823","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",50.37,"OES",55,"New England",5,936
"1825","DENIED","South","COMPUTER PROGRAMMERS","Y",68370,"OES",80637,"South",1,454
"1826","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",73944,"OES",73944,"Midwest",1,1096
"1827","DENIED","Midwest","MECHANICAL ENGINEERS","Y",62650,"OES",70720,"Midwest",0,1095
"1829","DENIED","West","MECHANICAL ENGINEERS","Y",89357,"OES",136781.32,"West",5,1094
"1830","DENIED","South","COMPUTER PROGRAMMERS","Y",65187,"OES",74825,"South",0,687
"1831","DENIED","West","MECHANICAL ENGINEERS","Y",73986,"OES",74000,"West",0,1092
"1832","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",62379,"OES",65000,"South",0,1067
"1833","DENIED","Midwest","ELECTRICAL ENGINEERS","Y",84501,"Other",89888,"Midwest",3,1096
"1834","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",111405,"Other",111405,"Mid-Atlantic",0,1095
"1843","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",117936,"OES",117936,"Southwest",0,1094
"1845","DENIED","Mid-Atlantic","ACCOUNTANTS AND AUDITORS","N",26.81,"OES",26.81,"Mid-Atlantic",2,1095
"1846","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",104400,"Other",104400,"West",4,1096
"1847","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",102627,"OES",102627,"West",5,1095
"1849","DENIED","Midwest","COMPUTER PROGRAMMERS","Y",61500,"OES",61500,"Midwest",3,770
"1850","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",102461,"OES",102461,"Midwest",0,1095
"1852","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",58510,"OES",62500,"South",0,1095
"1854","DENIED","South","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Y",32510,"Other",32510,"South",0,1096
"1856","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",127608,"OES",140190,"West",3,1095
"1859","DENIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",61901,"OES",90000,"Midwest",0,1096
"1860","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",67434,"OES",68172,"South",0,1093
"1862","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",111405,"OES",118675.2,"Mid-Atlantic",1,1095
"1865","DENIED","South","COMPUTER PROGRAMMERS","Y",63544,"OES",81837,"New England",1,1094
"1867","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",70221,"OES",75000,"Mid-Atlantic",0,1095
"1868","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",78603,"OES",78506,"New England",6,396
"1871","DENIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",66518,"OES",66518,"West",1,1095
"1872","DENIED","Midwest","COMPUTER PROGRAMMERS","Y",60944,"OES",61000,"Midwest",0,1094
"1873","DENIED","West","COMPUTER SYSTEMS ANALYSTS","Y",35.79,"Other",39.42,"West",166,1095
"1874","DENIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",91146,"OES",92000,"Midwest",0,1095
"1875","DENIED","West","MANAGEMENT ANALYSTS","Y",27.64,"OES",27.64,"West",3,1095
"1876","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",64210,"OES",70000,"South",0,1095
"1880","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",72322,"OES",80000,"South",3,1096
"1881","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",44720,"OES",70000.16,"South",0,1096
"1882","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",68827,"Southwest",3,1096
"1884","DENIED","Midwest","ELECTRICAL ENGINEERS","Y",62691,"OES",63250,"Midwest",0,1095
"1887","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",115440,"OES",131510,"Southwest",0,1095
"1890","DENIED","South","OPERATIONS RESEARCH ANALYSTS","Y",62483,"Other",62483,"South",0,1095
"1891","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",71614,"OES",96000,"Mid-Atlantic",915,471
"1892","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90813,"OES",104030.16,"Mid-Atlantic",0,1095
"1894","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",33.09,"Other",33.09,"Southwest",2,1095
"1895","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",25.58,"OES",50000,"South",1,1096
"1898","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",64813,"OES",61797,"Mid-Atlantic",0,1030
"1900","DENIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",86653,"OES",75100,"Mid-Atlantic",1,1095
"1902","DENIED","Southwest","COMPUTER PROGRAMMERS","Y",62005,"Other",67891,"Southwest",0,225
"1904","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",117770,"OES",170000,"West",1,729
"1909","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",87506,"Other",88000,"West",1,1095
"1911","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",69701,"OES",69701,"Mid-Atlantic",3,1095
"1912","DENIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",82493,"Other",82493,"West",5,1095
"1913","DENIED","South","COMPUTER PROGRAMMERS","Y",74090,"OES",70658,"Southwest",0,1087
